node,cell,output_net,is_primary_output,cload_fF,delay_rise_ns,delay_fall_ns,at_rise_ns,at_fall_ns,rt_rise_ns,rt_fall_ns,slack_rise_ns,slack_fall_ns,node_slack_ns
G45,AND3_X1,N45,False,4.0,0.1,0.091,0.5941705,0.5295044999999999,0.568342,0.5496779999999999,-0.025828500000000032,0.020173499999999955,-0.025828500000000032
G46,OR3_X1,N46,False,4.0,0.114,0.095,0.5993435,0.5483435,0.5770069999999999,0.5496779999999999,-0.022336500000000092,0.0013344999999999052,-0.022336500000000092
G47,INV_X1,N47,False,4.0,0.051000000000000004,0.038000000000000006,0.4300005,0.43966650000000007,0.5788275,0.5644954999999999,0.14882700000000004,0.12482899999999986,0.12482899999999986
G48,BUF_X1,N48,False,1.667,0.041669,0.0351685,0.5486854999999999,0.5288510000000001,0.591661,0.5684954999999999,0.042975500000000055,0.03964449999999986,0.03964449999999986
G49,NAND2_X1,N49,False,3.6660000000000004,0.068493,0.06099400000000001,0.4474935,0.46266050000000003,0.5788275,0.5644954999999999,0.13133400000000006,0.1018349999999999,0.1018349999999999
G50,NOR2_X1,N50,False,2.333,0.070662,0.0474975,0.4869985,0.47516800000000003,0.6041754999999999,0.5961754999999999,0.11717699999999986,0.12100749999999982,0.11717699999999986
G51,XOR2_X1,N51,False,1.667,0.08867,0.081336,0.5455045000000001,0.5381705,0.6569975,0.6006619999999999,0.11149299999999995,0.06249149999999992,0.06249149999999992
G52,AND2_X1,N52,False,1.667,0.063336,0.0588355,0.5486795,0.512179,0.6569975,0.6006619999999999,0.10831800000000003,0.08848299999999987,0.08848299999999987
G53,OR2_X1,N53,False,4.333,0.09483050000000001,0.0781645,0.601847,0.571847,0.5788275,0.5644954999999999,-0.02301949999999997,-0.007351500000000066,-0.02301949999999997
G54,XNOR2_X1,N54,False,3.0,0.1075,0.0975,0.6145165,0.6045165,0.5851754999999998,0.588,-0.029341000000000172,-0.016516500000000045,-0.029341000000000172
G55,NAND3_X1,N55,False,1.333,0.059662999999999994,0.05932900000000001,0.6258335,0.6534995,0.6286719999999999,0.627671,0.002838499999999855,-0.025828500000000032,-0.025828500000000032
G56,NOR3_X1,N56,False,1.333,0.07899400000000001,0.050664,0.6451645,0.6500075000000001,0.6286719999999999,0.627671,-0.016492500000000132,-0.022336500000000092,-0.022336500000000092
G57,AND3_X1,N57,False,1.667,0.0801695,0.074669,0.679513,0.6230125,0.6718305,0.6431644999999999,-0.0076825000000000365,0.020151999999999948,-0.0076825000000000365
G58,OR3_X1,N58,False,1.667,0.093003,0.078669,0.69485,0.650516,0.6718305,0.6431644999999999,-0.02301949999999997,-0.007351500000000066,-0.02301949999999997
G59,INV_X1,N59,False,2.0,0.033,0.025,0.5081680000000001,0.5119985,0.6291754999999999,0.6291754999999999,0.12100749999999982,0.11717699999999986,0.11717699999999986
G61,NAND2_X1,N61,False,3.334,0.06500700000000001,0.058006,0.5401750000000001,0.5450045,0.69,0.7145,0.14982499999999987,0.16949550000000002,0.14982499999999987
G62,NOR2_X1,N62,False,3.667,0.089338,0.0575025,0.6275085,0.606182,0.69,0.7145,0.06249149999999992,0.10831800000000003,0.06249149999999992
G60,BUF_X1,N60,False,2.0,0.044,0.037,0.6585165000000001,0.6415165,0.6291754999999999,0.6291754999999999,-0.029341000000000172,-0.012341000000000157,-0.029341000000000172
G63,XOR2_X1,N63,False,3.0,0.102,0.092,0.7165165,0.7065165,0.69,0.6995,-0.026516500000000054,-0.007016499999999981,-0.026516500000000054
G64,AND2_X1,N64,False,3.6660000000000004,0.07932800000000001,0.071829,0.7244925,0.7253285,0.708,0.6995,-0.01649250000000002,-0.025828500000000032,-0.025828500000000032
G65,OR2_X1,N65,False,5.667,0.1061695,0.08683550000000001,0.8010195,0.7373514999999999,0.778,0.73,-0.02301949999999997,-0.007351499999999955,-0.02301949999999997
G66,XNOR2_X1,N66,False,4.333,0.12149650000000001,0.1088305,0.7800130000000001,0.767347,0.758,0.7380059999999999,-0.02201300000000006,-0.02934100000000006,-0.02934100000000006
G67,NAND3_X1,N67,False,3.0,0.078,0.08100000000000002,0.7845165,0.7975165,0.7925,0.771,0.007983500000000032,-0.026516499999999943,-0.026516499999999943
G70,OR2_X1,O2,True,10.0,0.14300000000000002,0.115,0.9440195,0.8523514999999999,0.921,0.845,-0.02301949999999997,-0.007351499999999955,-0.02301949999999997
G72,NAND2_X1,O4,True,11.0,0.14550000000000002,0.127,0.8708285,0.8514925,0.845,0.835,-0.025828500000000032,-0.01649250000000002,-0.025828500000000032
G68,NOR3_X1,N68,False,2.333,0.09699400000000001,0.05866400000000001,0.864341,0.8596835,0.835,0.849,-0.02934100000000006,-0.010683500000000068,-0.02934100000000006
G71,XOR2_X1,O3,True,8.0,0.152,0.132,0.9320130000000001,0.9120130000000001,0.91,0.905,-0.02201300000000006,-0.007013000000000047,-0.02201300000000006
G73,NOR2_X1,O5,True,9.0,0.164,0.0975,0.9615165,0.8985195,0.935,0.89,-0.026516499999999943,-0.008519500000000013,-0.026516499999999943
G69,AND2_X1,O1,True,12.0,0.14600000000000002,0.126,1.010341,0.9856835,0.982,0.975,-0.02834099999999995,-0.010683500000000068,-0.02834099999999995
G74,BUF_X1,O6,True,15.0,0.135,0.10849999999999999,0.999341,0.9681835000000001,0.97,0.96,-0.02934100000000006,-0.008183500000000121,-0.02934100000000006
