node,cell,output_net,is_primary_output,cload_fF,delay_rise_ns,delay_fall_ns,at_rise_ns,at_fall_ns,rt_rise_ns,rt_fall_ns,slack_rise_ns,slack_fall_ns,node_slack_ns
G49,XOR2_X1,B2_1,False,1.333,0.08532999999999999,0.07866400000000001,0.9993549999999999,0.9926889999999999,0.8539950000000003,0.8704955000000003,-0.1453599999999996,-0.12219349999999962,-0.1453599999999996
G59,OR2_X1,B3_1,False,2.0,0.07500000000000001,0.063,0.9890249999999998,0.9463569999999999,0.8440010000000003,0.8440010000000003,-0.1450239999999995,-0.10235599999999956,-0.1450239999999995
G69,NAND3_X1,B4_1,False,2.333,0.070663,0.072329,0.95402,0.9863539999999998,0.9088325000000002,0.8404975000000001,-0.045187499999999825,-0.14585649999999972,-0.14585649999999972
G79,AND3_X1,B5_1,False,2.333,0.0858305,0.079331,0.9998554999999999,0.962688,0.8525015,0.8826670000000001,-0.14735399999999987,-0.0800209999999999,-0.14735399999999987
G89,NAND2_X1,B6_1,False,1.667,0.047503500000000004,0.043003,0.9308605,0.9570279999999999,0.832665,0.8116650000000001,-0.09819549999999999,-0.1453629999999998,-0.1453629999999998
G99,XOR2_X1,B7_1,False,1.333,0.08532999999999999,0.07866400000000001,0.9993549999999999,0.9926889999999999,0.8519950000000001,0.8684955000000001,-0.14735999999999982,-0.12419349999999985,-0.14735999999999982
G109,OR2_X1,B8_1,False,2.0,0.07500000000000001,0.063,0.9890249999999998,0.9463569999999999,0.8440010000000003,0.8440010000000003,-0.1450239999999995,-0.10235599999999956,-0.1450239999999995
G40,NOR2_X1,B1_2,False,2.0,0.066,0.045,1.0230279999999998,0.9758605,0.8786650000000001,0.8786650000000001,-0.14436299999999969,-0.09719549999999988,-0.14436299999999969
G50,AND2_X1,B2_2,False,1.667,0.063336,0.0588355,1.0626909999999998,1.0515245,0.9173310000000003,0.9293310000000004,-0.1453599999999995,-0.12219349999999962,-0.1453599999999995
G60,XNOR2_X1,B3_2,False,1.667,0.0935035,0.0861695,1.0825284999999998,1.0751944999999998,0.9375045000000003,1.0075055000000004,-0.1450239999999995,-0.06768899999999944,-0.1450239999999995
G70,NOR3_X1,B4_2,False,1.667,0.085006,0.053336,1.0713599999999999,1.007356,0.9255035000000001,0.9621685000000002,-0.14585649999999972,-0.045187499999999714,-0.14585649999999972
G80,OR3_X1,B5_2,False,1.333,0.089997,0.07633100000000001,1.0898525,1.039019,0.9424985,0.9589980000000001,-0.14735399999999987,-0.08002099999999979,-0.14735399999999987
G90,NOR2_X1,B6_2,False,2.0,0.066,0.045,1.0230279999999998,0.9758605,0.877665,0.877665,-0.1453629999999998,-0.09819549999999999,-0.1453629999999998
G100,AND2_X1,B7_2,False,1.667,0.063336,0.0588355,1.0626909999999998,1.0515245,0.9153310000000001,0.9273310000000001,-0.1473599999999997,-0.12419349999999985,-0.1473599999999997
G110,XNOR2_X1,B8_2,False,1.667,0.0935035,0.0861695,1.0825284999999998,1.0751944999999998,0.9375045000000003,1.0075055000000004,-0.1450239999999995,-0.06768899999999944,-0.1450239999999995
G41,XOR2_X1,B1_3,False,1.333,0.08532999999999999,0.07866400000000001,1.1083579999999997,1.101692,0.9639950000000002,0.9804955000000002,-0.14436299999999957,-0.12119649999999971,-0.14436299999999957
G51,OR2_X1,B2_3,False,2.0,0.07500000000000001,0.063,1.1376909999999998,1.1145245,0.9923310000000003,0.9923310000000003,-0.1453599999999995,-0.12219349999999962,-0.1453599999999995
G61,NAND3_X1,B3_3,False,2.333,0.070663,0.072329,1.1458574999999998,1.1548574999999999,1.0781685000000003,1.0098335000000003,-0.06768899999999944,-0.1450239999999996,-0.1450239999999996
G71,AND3_X1,B4_3,False,2.333,0.0858305,0.079331,1.1571904999999998,1.086687,1.0113340000000002,1.0414995000000002,-0.1458564999999996,-0.045187499999999714,-0.1458564999999996
G81,NAND2_X1,B5_3,False,1.667,0.047503500000000004,0.043003,1.0865224999999998,1.1328554999999998,1.0065015000000002,0.9855015,-0.08002099999999968,-0.14735399999999976,-0.14735399999999976
